Dagaare,English
poɔle,   to cause wetness of e.g. floor 
poɔle,  to soak herbs  preparing medicine 
poɔle,to make the end of something pointed
poɔle,pointed end
poɔnaa,hide and seek  children’s game 
poɔre,   to rub to clear e.g. hand over face just from sleep 
poɔre,   to clutch with both hands and feet e.g. in climbing a tree or wall
poɔroŋ,rot
popaale,disease that causes swollen feet and a distended stomach
popeɛloŋ,happiness
popelaa,stomachache
popelaa,   prostrate
popelaa,  open minded
popɛge,outer shell
popɛle,   happiness
popo,motorcycle
pore,tiny
pore,to name
pore,to pour out
pore,to buy herbal medicine
pore,small in size
pore,abundant in quantity
poree,pair of pegs on which pots and calabashes are placed
pori,to cause to blister
pori,sound of a big falling object from a height  a big fruit 
pori,sound of a small object falling from a height  small fruit 
pori,to struggle e.g. dying fowl
poriko,pig
porisi,police
poritiisan,police station
poroso,large and round e.g. balloon
poroworo,countless and all over the place e.g. piglets of a sow
porɔ,fail to respond smoothly or click  archer’s arrow 
porre,to force air through closed lips  rude way of disagreeing  lie 
porre,to break into tiny bits
porri,to report
posãa,sadness
posaanaa,sorrow
posogedaa,backbone
posoge-kpoŋi,spinal tuberculosis
posogɔ,mid-back
poteɛrɛ,thoughts
poteɛroŋ,thought
potulimo,backwards
potulo,backwards
potuo,wickedness
po-tu,the act of following
potuoluŋ,wickedness
potuosobɔ,wicked person
potuuro,follower
pou,sound of blast e.g. balloon  onomatopoeia 
povelaa,sincere
powɛle,confession
powolaa,wickedness
po-yiraa,miscarriage
pozagela,innocence
pozagelaa,empty stomach
pozagelaa,the state of being free of malice toward another
pozu,gossip
pɔ,to swear  to make a vow
pɔ-eŋe,to curse  putting a malicious spell on someone
pɔge,to close
pɔge,female  woman  wife
pɔge,to meet the presence of  to hit a target  to be possible
pɔgebaa,a woman who has a sharp tongue  prostitute
pɔgebeɛle,the act of taking a bride to the bridegroom
pɔgebeɛlɛ,bridesmaid
pɔgebeɛloŋ,marriage feast  taking the bride to the bridegroom 
pɔgebeɛre,a stage in courtship
pɔge-bɔ,courtship
Pɔgedãã,name traditionally given to a female child born on day of locally brewed beer
pɔge-de,marriage
pɔgederaa,a woman that is qualified to be married
pɔgederoŋ,marriage  action of groom 
pɔgedɔgerɔ,a woman who has just given birth to a child
pɔgefaa-ŋmenaa,early evening  4 pm 
pɔgegori,bride price
pɔgeguri,rape
pɔgegbeɛloo,one who leads the bride to the bridegroom’s house
pɔge-iraa,a woman who has eloped with her fiance
pɔgekoɔre,unmarried woman  widower
pɔgekɔŋ,unavailability of marriageable women
pɔgekuree,skirt
pɔge-kyaaraa,woman offered for marriage
pɔgekyeɛ,sister-in-law
pɔgekyɛre,payment of bride price
pɔge-la-dɔɔ,woman with manly features
pɔgele,to tame
pɔgelee,girl  junior wife
pɔgeloŋ,womanliness
pɔge-nɔgeraa,woman  a derogatory term implying that the woman is a sojourner and therefore has no power 
pɔgenyaŋaa,old woman
pɔgenyɔgeraa,a woman who has eloped with a man
pɔgenyuo,woman with a big navel  name 
pɔgepẽɛ̃,courtship
pɔge-pɛgebo,menstruation
pɔgepiiraa,fiancee  betrothed woman
pɔgepoɔ,pregnant woman
Pɔgesaa,name traditionally given to a female child born on a rainy day
pɔgesaraa,young woman
pɔgesarebie,a woman’s firstborn
pɔgesarelee,young woman
pɔgeseɛ,woman who is menstruating
pɔgeseɛ,a type of yam
pɔgeserekulo,marriageable woman
pɔgesoga,middle wife
pɔgesoɔbɔ,witch
Pɔgesugilo,female name traditionally given to the second born after twins
pɔgesugo,a large group of women
pɔge-tu,taking home of a woman who failed to divorce
pɔge-tu,final stage in courtship
pɔgetuuro,one who takes a woman from her family to her husband’s house
Pɔgeweɛ,name traditionally given to a female child born in the farm bush
pɔgeyaa,daughter
pɔgeyagede,polygamy
pɔgeyi-gane,writ of divorce
pɔgeyiraa,divorced woman
Pɔgezeɛ,lightskinned woman  female name
pɔlaa,heartbeat
pɔlaare,to swear vehemently
pɔlbile,young man
pɔle,young boy
pɔle,to grow to maturity  to be full of life  to become beautiful
pɔlee,young man
pɔlese,to polish
pɔllɔ,pathway used by wild rodents
pɔloo,liveliness
pɔloo,pride  vanity
pɔlteɛ,frightening
pɔmɛɛ,fat and round
pɔmpɔre,very young and immature
pɔnne,to hold onto someone’s chest or belly
pɔntenakaare,one that is here and there
pɔntere,toad
pɔɔ,to be too small  to be too young
pɔɔre,a short and poisonous snake
pɔpɔrɛɛ,honeycomb in which bee larvae develop into adult bees
pɔraa,an ordeal to find a wrongdoer  the condition of hanging in the balance
pɔre,to pluck  fruit   to die  baby   to carry out a test to find a wrongdoer
pu,to flower
pu,to pluck very tender fruits e.g. okra
pu,direct to
pugi,to disturb  to knead
pugi,to praise  to adore
pugo,gray
puli,under
puli,an emergency exit of rodents that live in holes
puli,hind toe of a bird
pulli,to mix
pulli,to repeat  to fold over
pulluu,repetition  refrain  poem
pulompuloŋ,mixed up e.g. different items
puloŋ,sound of a small object falling into water
pulopulo,less serious than
pulopulo,incomparable
pulopulo,made of different varieties
puluŋ,a type of grass with sharp tips that can pierce soft or light objects e.g. feet
pumpuŋkɔrɔ,a type of poisonous plant
pumpuroŋ,small
pumpuroŋ,large
puo,small farm near the house  farmland
pũo,to make a hole through an object
puoli,to saturate with water
puoraa,greetings  gratitude
puoraa karetaa,postcard
puori,back  body 
puori,stomach  the organ in humans and animals in which food is stored
puori,to pray  to greet  to thank
puori,behind  backward  direction 
puoriŋ,after
puoruu,prayer
puree,paternal aunt
puri,   to burst
puro,a type of tree that has sour sap which is used in preparing porridge
puro,a type of small tree squirrel
puu,   to praise 
puu, to congratulate
puulee,lady  typically used with bi- 
puuli,a funeral rhythm  a type of musical performance at a funeral rites session
puuri,flowers
puuri,to spray from the mouth  usually chewed material as medicine 
sa,to administer an enema
saa,father
saa,rain
saa,even if  short form of saareŋ
sãa,blacksmith’s shop
sãa,to mash
sãa,to appear
sãa,   to spoil
sãabile,uncle  father’s younger brother 
saabo,flour paste  staple food of the Dagaare-speaking people 
saabuulaa,porridge set for preparing saabo
saadaare,rainy
saadoge,large cooking pot
saa-doge,earthenware cooking pot for soup
sãadɔɔ,stranger  male 
saafebiri,key
saafee,lock
sa-ageraa,rainclouds that gather and suddenly give way to clear weather
saakaŋkaŋaa,a type of tree
saakaraa,flour paste not fully cooked
sãakoma,grandfather
sãakonnoŋ,tradition
sãakontulimo,great-grandfather
sãakoŋkommuulitoori,great-grandfather
sãakoŋkorema,great-great-grandfather
sãakontulimotulimo,great-great-grandfather
saakõɔ,water in mashed porridge
saakɔntuo,water from the first rain of the onset of the rainy season
saala,charcoal
saalaa,   smooth  
saalaa,  slippery
saalaa,object used for sharpening implements
saalaa,a type of tree with hard wood
saalaa,bowl of T.Z.
saale,   to sharpen e.g. knife  
saale, to make smooth
saale,to be sufficient
saalesɔglaa,a type of tree with hard wood and medicinal properties
saalommaane,okra
saalompelaa,a type of small plant whose leaves are used in place of okra
saaloŋ,slippery
saaloŋ,okra or other slimy plant used in soup
saalɔre,ball of T.Z.  usually formed by putting T.Z in water 
saana,stranger
saanaa,fault
saanweɛleŋ,opposite
saaŋ,blacksmith’s shop
saapɛle,layer of T.Z
saapɔge,stranger  female 
saapuori,the middle of T.Z
saapurimo,pieces of flour paste  T.Z. 
saaraa,saw
saare,broom
saaremuri,broom straw
saareŋ,even if
saa-toloŋ,hot TZ
saazu-kogilo,dried top of T.Z
sabaabo,mysterious
sabeelɛ,civilian
sabɛlemɛ,earthworm
sabɛlemɛkyɔɔ,earthworm
sabiri,raindrop
sabogi,something that causes concern e.g. incessant complaint
sadɛŋe,first rain
saalommaane,okra
saalompelaa,a type of small plant whose leaves are used in place of okra
saaloŋ,slippery
saaloŋ,okra or other slimy plant used in soup
saalɔre,ball of T.Z.  usually formed by putting T.Z in water 
saana,stranger
saanaa,fault
saanweɛleŋ,opposite
saaŋ,blacksmith’s shop
saapɛle,layer of T.Z
saapɔge,stranger  female 
saapuori,the middle of T.Z
saapurimo,pieces of flour paste  T.Z. 
saaraa,saw
saare,broom
saaremuri,broom straw
saareŋ,even if
saa-toloŋ,hot TZ
saazu-kogilo,dried top of T.Z
sabaabo,mysterious
sabeelɛ,civilian
sabɛlemɛ,earthworm
sabɛlemɛkyɔɔ,earthworm
sabiri,raindrop
sabogi,something that causes concern e.g. incessant complaint
sadɛŋe,first rain
safeaa,survey
safekyeɛrɛ,surveyor
safoa,lock
safobiri,key
safoɔ,lock
sagane,sky blue
sage,to answer
sage,to be piled up
sagele,to be caught up  to be entangled
sagere,rubbish
sagoŋgoŋŋo,rainbow
sagbini,big bundle of traditional broomsticks
sakaliŋkuuree,whirlwind
sakere,bicycle
sakõɔ,heavy rain
sakoraa,gathered rain clouds  the condition of preparing to rain
sakɔre,scrap of saabo left in the pot
sakɔre,useless
sakubie,student
sakubo,hail
sakuuri,hailstone
sakuuribie,student
sakperɛ,disused broom
sakyeɛre,a type of hat with a large brim e.g. cowboy
sakyɔre,height of the rainy season
salala,dull
salamante,cement
salansalaŋ,smooth
Salaŋa,a person who works as a cleaner and orderly maintenance of the innermost part of a chief’s palace
sale,to be dispirited
sale,to cook a small amount of soup
sale,a type of plant with medicinal properties
salema,gold
salembogi,gold mine
salempelaa,diamond
salendoge,treasury  traditional 
saleŋgoɔ,a type of tree with long
saleŋkuuri,gold nugget
salinsoo-naadaperaa,large grasshopper
salinsoori,grasshopper
salinsoori,shadow
saluoni,sky
samafuu,worth nothing in the end
samane,immediate surroundings of a house
samane,toilet
samasama,occupied and filled to capacity
sambakelee,pottery shard
sambala,a type of long
sa-miiraa,rain that is possible to come
sampa,a type of shed the roof of which is used to store corn and under which is used as a place to relax
sampane,wooden foot-shaped mallet for beating floor to plaster it
sampire,clusters of grass
sampulo,several times
sanaŋe,a type of large
sandaana,creditor
sandire,debtor
sane,debt
sangyẽaa,   a type of long water beetle 
sangyẽaa,  crab
saniŋe,West
sanlɛre,straw put up together to form a mat on which harvested ears of guinea corn is kept to dry
sanna,to caution
sanne,to attempt
sansalaŋ,disorderly
sansaŋgoɔ,a type of thorn tree
sansaraŋ,making moves to leave all of a sudden  without prior notice 
san-yɔɔ,salary
sanyegeraa,lightening  flashes of light in a storm 
saŋa,time
saŋe,to heal
saŋgara,a type of worm found in kola nuts
saŋgorema,foot yaws
saŋkora,old indebtedness
saŋkpalema,a kind of large antelope
saŋkpana,scabies
saŋmene,god of rain
sapare,East
sapelaa,   rain from cumulus clouds 
sapelaa,  a type of rain god  white 
sapigi,large hat
sapĩi,bolt of lightning
sapooraa,rain shower
sapɔ,sponge
saraa,young and female  human and nonhuman 
sare,to slip
sare,water trough  container from which animals drink 
sareka,a ritual in which one provides for the needy for atonement
sarre,to develop into a young woman
saseɛ,   air
sase-ɔɔre,harmattan
sasepilimbaŋe,whirlwind
sasere,grasscutter
sasigoo,hiccough
sasɔgelaa,   rain from black clouds 
sasɔgelaa,   a type of fetish or deity connected with rain  black 
sasusulee,a type of tree
satannaa,to thunder
savaale,rainstorm  at night 
sawarema,whitelooking cloud
sawarɛɛ,white clouds  non-rain-bearing 
sawɛge,long cloud sprawling across the sky
sawɔlɔ,fried dough made from flour e.g. bean
sazeɛ,a type of soft broom
sazɔŋɔ,snow
sazɔɔ,first rain which begins the farming season
sazu,sky
sazu,up
sazupĩi,danger lurking above
se,to skin  slaughtered animal 
sebaa,a type of wild animal
sebiri,bee
sebo,   to affect 
sebo,  to refuse to give
sebogi,beehive
sedanegere,brown
sedoge,pot container used to trap for bees
see,unless e.g. having no option
seebo,   honey 
seebo,  beehive
seene,to touch
seeraa,a type of tree with medicinal properties
seɛ,waist
seɛ,   to wear  on the waist   
seɛ,  to dance  3  to be better than
seɛ,soul
seɛ,   joke
seɛ,by the side  wall 
sẽɛ,rainy season
seɛbaa,considerably big
seɛbaa,twine from dawdaw fruit
seɛgoɔ,a type of tree with medicinal properties
seɛ kpelle,to get someone in trouble
sẽɛkpɛpaalaa,early farming season
seɛlaa,   clay eaten by cattle 
seɛlaa,  pit where cattle eat this clay
seɛlee,mystery
seɛlee,mysterious
seɛne,porcupine
seɛne,   to grab firmly with fingers around the object e.g. neck 
seɛne,  to cram e.g. a bag with clothes
seɛnoɔre,the beginning of the farming season
sefaa,demon
segammo,honeycomb
segampelaa,white honeycomb  usually contains the pure honey 
seganfuu,honeycomb without honey
sege,farm hut  camp
sege,   to resemble  
sege,  to name a child after someone  usually an anscestor 
segeraa,ancestral name given to a baby
segesege,to attempt to move but being constrained by one thing or the other
segilekele,standing upright
sekãa,pure honey
sekãaboli,pure honey
sekalmanyuo,swarm of bees  usually clustering on a tree branch 
sekpɔgere,proverb
selaa,hawk
sele,to decant
selee,pottery shard
seleŋkaa,a small brown wasp with a painful sting
selɛŋkaa,a small brown wasp with a painful sting
selɛŋkpaa,a small brown wasp with a painful sting
selgyuuni,a type of eagle
selle,to tell
selle,to reduce in size  body 
semare,a type of fetish for which there is a secret cult that has the power to identify evil people like wizards and witches
semekelee,broken piece from a clay molded object e.g. a pot
sengye,mosquito net
senlɛre,sweet drink
senlogere,bile
senselloŋ,story
sensɛlaa,earthenware for frying cakes
sensɛlaabogiri,frying earthenware with hollow depressions
sensɛre,bean cake
sensogelensogɔ,middle
sensogɔ,middle
sensogɔ,home drain e.g. one leading out of the bathroom 
sensogɔ,  a track fixed to drain rainwater from the top of a roof
sensɔge,rattle used by babysitters to accompany the singing of a lullaby
sensɔɔre,tigernut
sensɔraa,kitchen sponge
sentaa,equality
sentaaloŋ,the state of being equal
senuulee,honey bird
senyoɔle,a person or any creature that is fond of sweet things
seŋe,to suffice
seŋe,like
seŋe,to wake up  someone  
seŋe, to revive
seŋɛ,large pot used to store local beer during preparation or to store water
seŋgelɛnte,singlet
seŋkãa,groundnut
seŋkãafa,rice  Hausa 
seŋkãakpɔlɔ,a variety of groundnuts with big nuts
seŋkãawerɛ,a variety of groundnut with small nuts
seŋkpegere,hip
Sepaanase,Spanish
sepelaa,a soul that has left a person but can be returned again
sepɔpɔrɛɛ,honeycomb where the larvae are found
setaana,devil
setampe,stamp  English 
setetebaa,the stinger of a bee
sɛ,already
sɛ,to roast
sɛ,to sue
sɛ,to sew
sɛbɛlemɛkyɔɔ,earthworm
sɛge,to write
sɛgebinyaŋaa,vowel
sɛgebiri,amulet
sɛgebiri,letter  consonant or vowel 
sɛgelɛgɛ,unable to move e.g. lazy dog
sɛgeraa,a piece of flat object fixed alongside a hoe blade into the handle to make the blade firm
sɛgere,to arrange
sɛgere,to stuff
sɛgesɛge,making moves  before one is aware
sɛle,to transplant
sɛma,to sue in court
sɛmare,to sue
sɛmpili,a type of long mat
sɛndɔɔ,the boyfriend of one’s wife
sɛndɔɔ-dogi-za,small lumps of earth on top of a wall for decoration
sɛne,   lover  of another sex  
sɛne, fiancé
sɛnlee,small mat
sɛnlɛre,a type mat made by putting straw together on which harvested guinea corn is kept to dry
sɛnsɛmbie,bastard
sɛnsɛŋ,the act of love making  friendship 
sɛnwoɔ,a type of long mat
sɛŋ,actually
sɛŋe,to engage in friendship between people of opposite sexes
sɛŋe,one’s side towards
sɛŋɛ,mat  bed
sɛŋkpɛdie,deep love between lovers  relationship that involves sex
sɛŋkpɔgele,bedbug
sɛre,before
sɛre,move
sɛremaalogi,pepper farm
sɛredire,judge
sɛremaane,pepper
sɛrɛɛ,judgement
sieree,benefit
sigi,   to go down
sigili,   to become calm
sigiri,   to lower
sikiri,sugar
sile,shilling
simmie,   bambara beans 
simmie,    groundnuts  Northern Dagaare dialect 
simmiri,thread
sinkyigiri,bunch
sinsuoluŋ,ground bean
siŋgbule,bambara beans
sipirii,aspirin
siremm,serene
sisi,to cheat
sitime,ship
so,to bathe
so,to own
so,as a result
sobile,path
sobiri,   road
sobɔ,   owner 
sobɔ,  the one
so-eŋe,   to initiate
so-eŋe,metaphor  literature 
sofoɔlaa,street
sogelɔŋ,heavy and dull
sogi,to catch in midair
sogi,to pant
sogi,to chirp  guinea fowl 
sogɔ,middle
sogya,soldier
sokonsuo,storey
sokoɔraa,large road
sokyara,crossroads
sokyɛnɛ,traveler
solee,path
solgbolo,inactive
soli,in a neat manner
solli,to be well polished
solli,to narrate repeat incessantly
solom,completely e.g. without being touched
soma,a person who is good to one
somasoma,quietly
somɔ,good beautiful
somɔ,holy
sompoɔ,three pence
sonono,extremely cold
soŋ,good
soŋe,to help
soo,pure
sõo,confused
soore,to question
soore,to hiss to drive fowls away 
soore, to hiss in pain e.g. after eating very spicy food
soori,locusts
soɔ,knife
soɔ,to blacken
soɔ,to blossom e.g. vegetation
sõɔ,to flatter
sõɔ,witchcraft
sõɔ,to draw a line on the ground with the foot
soɔbɔ,wizard
sõɔgõɔo,pretense
soɔloŋ,witchcraft
soɔne,to praise
soɔŋaa,rabbit
soɔre,dye
soɔsobɔ,chief celebrant  traditional worship 
sõɔzeɛnagbare,small but old or strong
sori,way
sotugane,map
sotuuraa,pathway
sɔ,to smear
sɔ,to add vegetables to groundnut sauce
sɔbiri,knife blade
sɔge,to shell nuts
sɔge,to rinse
sɔge,bushy 
sɔge, littered
sɔge,to respond
sɔge,to be bushy
sɔgelaa,  black  
sɔgelaa, dark  colour 
sɔgelaa,neck of a pot
